group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
7,Âm đục và bán đục,Âm đục,61,だ,da,da,ta,da,za,ba
7,Âm đục và bán đục,Âm đục,62,ぢ,ji,ji,ji,chi,di,zi
7,Âm đục và bán đục,Âm đục,63,づ,zu,zu,zu,tsu,du,su
7,Âm đục và bán đục,Âm đục,64,で,de,de,te,de,ze,be
7,Âm đục và bán đục,Âm đục,65,ど,do,do,to,do,zo,go
7,Âm đục và bán đục,Âm đục,66,ば,ba,ba,ha,ba,pa,da
7,Âm đục và bán đục,Âm đục,67,び,bi,bi,hi,bi,pi,gi
7,Âm đục và bán đục,Âm đục,68,ぷ,pu,pu,pu,bu,fu,gu
7,Âm đục và bán đục,Âm đục,69,ぺ,pe,pe,pe,be,he,ge
7,Âm đục và bán đục,Âm đục,70,ぽ,po,po,po,bo,ho,go
