group_id,group_title,lesson,question_no,question_jp,romaji,meaning_vi,option_a,option_b,option_c,option_d
2,Biết / sống,Mina bài 15,1,しります nghĩa là gì?,shirimasu ngh ĩa l à g ì?,しります nghĩa là gì?,biết,sống,không biết,nhớ ra
2,Biết / sống,Mina bài 15,2,しっています nghĩa là gì?,shitteimasu ngh ĩa l à g ì?,しっています nghĩa là gì?,biết,không biết,đang sống,nghiên cứu
2,Biết / sống,Mina bài 15,3,しりません nghĩa là gì?,shirimasen ngh ĩa l à g ì?,しりません nghĩa là gì?,không biết,biết,sống,nhớ ra
2,Biết / sống,Mina bài 15,4,すみます nghĩa là gì?,sumimasu ngh ĩa l à g ì?,すみます nghĩa là gì?,sống / cư trú,biết,dùng,bán
2,Biết / sống,Mina bài 15,5,すんでいます nghĩa là gì?,sundeimasu ngh ĩa l à g ì?,すんでいます nghĩa là gì?,đang sống,không biết,nhớ ra,đang bán
2,Biết / sống,Mina bài 15,6,おおさかに すんでいます nghĩa là gì?,oosakani sundeimasu ngh ĩa l à g ì?,おおさかに すんでいます nghĩa là gì?,sống ở Osaka,đi Osaka,đến Osaka,bán ở Osaka
2,Biết / sống,Mina bài 15,7,山田（やまだ）さんを しっています nghĩa là gì?,yamadasano shitteimasu ngh ĩa l à g ì?,山田（やまだ）さんを しっています nghĩa là gì?,biết anh/chị Yamada,không biết Osaka,sống ở Yamada,nhớ ra Osaka
2,Biết / sống,Mina bài 15,8,いいえ、しりません nghĩa là gì?,"iie,shirimasen ngh ĩa l à g ì?",いいえ、しりません nghĩa là gì?,"Không, tôi không biết.","Vâng, tôi biết.",Tôi đang sống.,Tôi đã nhớ ra.
2,Biết / sống,Mina bài 15,9,どこに すんでいますか nghĩa là gì?,dokoni sundeimasuka ngh ĩa l à g ì?,どこに すんでいますか nghĩa là gì?,Đang sống ở đâu?,Biết ai?,Đặt ở đâu?,Bán ở đâu?
2,Biết / sống,Mina bài 15,10,ここに すんでいます nghĩa là gì?,kokoni sundeimasu ngh ĩa l à g ì?,ここに すんでいます nghĩa là gì?,sống ở đây,biết ở đây,đứng ở đây,bán ở đây
